newName1|title|paragraph|company|company_c
September 10, 2024 10:21 AM IST -->     Buy Persistent Systems; target of Rs 6200: Sharekhan    Sharekhan is bullish on Persistent Systems has recommended buy rating on the stock with a target price of Rs 6200 in its research report dated September 09, 2024.|Buy Persistent Systems; target of Rs 6200: Sharekhan||Sharekhan|0.0
September 10, 2024 09:48 AM IST -->     Agri Picks Report September 10, 2024: Geojit Financial Services    According to Geojit, India remained the largest buyer of Australian chickpeas in July, with over 64% share in total chana exports from the country.|Agri Picks Report September 10, 2024: Geojit Financial Services||Geojit Financial Services|2.0
September 09, 2024 12:19 PM IST -->     Buy Persistent Systems; target of Rs 6300: Motilal Oswal    Motilal Oswal is bullish on Persistent Systems recommended buy rating on the stock with a target price of Rs 6300 in its research report dated September 06, 2024.|Buy Persistent Systems; target of Rs 6300: Motilal Oswal||Motilal Oswal|1.0
September 09, 2024 12:15 PM IST -->     Buy Global Health; target of Rs 1380: Motilal Oswal    Motilal Oswal is bullish on Global Health recommended buy rating on the stock with a target price of Rs 1380 in its research report dated September 06, 2024.|Buy Global Health; target of Rs 1380: Motilal Oswal||Motilal Oswal|1.0
September 09, 2024 12:06 PM IST -->     Buy V-Guard Industries; target of Rs 540: Sharekhan    Sharekhan is bullish on V-Guard Industries has recommended buy rating on the stock with a target price of Rs 540 in its research report dated September 06, 2024.|Buy V-Guard Industries; target of Rs 540: Sharekhan||Sharekhan|0.0
September 09, 2024 12:00 PM IST -->     Buy EPL; target of Rs 350: ICICI Securities    ICICI Securities is bullish on EPL recommended buy rating on the stock with a target price of Rs 350 in its research report dated September 07, 2024.|Buy EPL; target of Rs 350: ICICI Securities||ICICI Securities|1.0
September 09, 2024 11:56 AM IST -->     Buy Karur Vysya Bank; target of Rs 270: ICICI Securities    ICICI Securities is bullish on Karur Vysya Bank recommended buy rating on the stock with a target price of Rs 270 in its research report dated September 08, 2024.|Buy Karur Vysya Bank; target of Rs 270: ICICI Securities||ICICI Securities|1.0
September 09, 2024 11:52 AM IST -->     Buy VA Tech Wabag; target of Rs 1541: ICICI Securities    ICICI Securities is bullish on VA Tech Wabag recommended buy rating on the stock with a target price of Rs 1541 in its research report dated September 09, 2024.|Buy VA Tech Wabag; target of Rs 1541: ICICI Securities||ICICI Securities|1.0
September 09, 2024 09:19 AM IST -->     Agri Picks Report September 09, 2024: Geojit Financial Services    According to Geojit, Above normal showers so far during the southwest monsoon have helped restore water levels in most reservoirs of the country.|Agri Picks Report September 09, 2024: Geojit Financial Services||Geojit Financial Services|2.0
September 06, 2024 10:23 AM IST -->     Agri Picks Report September 06, 2024: Geojit Financial Services    According to Geojit, Farmers in Andhra Pradesh sowed kharif crops over 2.2 mln ha as of Wednesday, up 4% from a year ago, according to data released by the state.|Agri Picks Report September 06, 2024: Geojit Financial Services||Geojit Financial Services|2.0
September 06, 2024 09:30 AM IST -->     Buy Coal India; target of Rs 600: Motilal Oswal    Motilal Oswal is bullish on Coal India recommended buy rating on the stock with a target price of Rs 600 in its research report dated September 05, 2024.|Buy Coal India; target of Rs 600: Motilal Oswal||Motilal Oswal|1.0
